date,description,checknumber,amount
01/01/2022,Recharge card for SH phone,Reception,500
03/01/2022,Fuel,Security,6000
03/01/2022,Diesel,Security,3000
03/01/2022,Cash request,Dr Tony,2500
03/01/2022,Recharge card for SH phone,Reception,500
03/01/2022,Laptop repairs,Mr Nzube,2000
03/01/2022,DBC,Mr Nzube,10000
04/01/2022,Water Tanker,Tanker man,7500
04/01/2022,Kerosene,Maids,3200
04/01/2022,Fuel,Dr Tony,1500
04/01/2022,Recharge card for SH phone,Reception,500
04/01/2022,Transport fare,Pharmacy,200
04/01/2022,Refund,HMO,8300
04/01/2022,Change over,Iliya,12000
05/01/2022,Batteries,Nurses,500
05/01/2022,Fuel,Security,3000
05/01/2022,Transport fare,Security,200
06/01/2022,Electricity units,Mr Nzube,10100
06/01/2022,Transport fare,Pharmacy,200
06/01/2022,H. Pylori,Lab,6000
06/01/2022,Blood grouping,Lab,1500
06/01/2022,PT Strip,Lab,2000
06/01/2022,Field stain A and B,Lab,1200
06/01/2022,Transport fare,Lab,100
06/01/2022,Cellulose,Lab,1700
06/01/2022,Buffer,Lab,800
06/01/2022,Computer repairs,Computer programmer,1000
06/01/2022,DBC,Mr Nzube,30000
06/01/2022,Recharge card for SH phone,Reception,500
06/01/2022,Fuel,Security,4000
06/01/2022,Transport fare,Security,200
06/01/2022,Recharge card for HMO phone,HMO,500
08/01/2022,Cash request,Dr Tony,200
08/01/2022,Cash request,Dr Tony,200
08/01/2022,POS,Mr Nzube,5000
08/01/2022,Diesel,Security,4000
08/01/2022,Transport fare,Security,200
09/01/2022,Transport fare,Pharmacy,200
09/01/2022,Fuel,Security,3000
09/01/2022,Transport fare,Security,200
09/01/2022,Recharge card for SH phone,Reception,500
10/01/2022,Cash request,Dr Tony,5000
10/01/2022,Light repair,Iliya,5000
10/01/2022,Recharge card for SH phone,Reception,500
10/01/2022,Recharge card for HMO phone,Reception,500
10/01/2022,Water Tanker,Mr Nzube,7500
10/01/2022,Data purchase,POS Lady,15000
11/01/2022,Cash request,Mr Nzube,2500
11/01/2022,Diesel,Security,3000
11/01/2022,Transport fare,Security,200
12/01/2022,Diesel,Security,4000
12/01/2022,Transport fare,Security,200
12/01/2022,Hbs and PT,Lab,4200
12/01/2022,Cash request,Dr Tony,2500
12/01/2022,Cash request,Dr Toby,1500
12/01/2022,Cash request,Dr Tony,2000
12/01/2022,Recharge card for SH phone,Reception,500
12/01/2022,Data purchase,POS Lady,3000
12/01/2022,Transport fare,Pharmacy,200
12/01/2022,Coke,Dr Tony,200
12/01/2022,Printer advance payment,Printer man,15000
12/01/2022,Data purchase,POS Lady,10100
12/01/2022,RT,Lab,8300
13/01/2022,Cash request,Dr Tony,2000
13/01/2022,DBC,Dr Tony,12000
13/01/2022,Gen oil,Mr Nzube,2000
13/01/2022,Histology test,Dr Toby,5500
13/01/2022,Gen oil,Security,5000
13/01/2022,Fuel,Security,4000
13/01/2022,Transport fare,Security,200
14/01/2022,Lab items purchase,Lab,6400
14/01/2022,MP strip,Lab,500
14/01/2022,Cash request,Dr Toby,1500
14/01/2022,Cash request,Dr Tony,2000
14/01/2022,Cash request,Dr Tony,1500
14/01/2022,Police,Dr Tony,10000
14/01/2022,Cash request,Dr Tony,2000
14/01/2022,Refund,Dr Toby,1000
15/01/2022,Recharge card for SH phone,Reception,500
15/01/2022,DBC,Dr Toby,5000
15/01/2022,Fridge and socket repairs,Iliya,5200
15/01/2022,Kerosene,Security,3000
15/01/2022,Fuel,Security,4000
15/01/2022,Diesel,Security,4000
15/01/2022,Transport fare,Security,500
16/01/2022,Recharge card for SH phone,Mr Nzube,500
17/01/2022,Generator repairs,Dr Toby,3500
17/01/2022,Recharge card for SH phone,Reception,500
17/01/2022,Drugs,Pharmacy,20000
17/01/2022,Fuel,Security,4000
17/01/2022,Transport fare,Security,200
18/01/2022,Leather,Pharmacy,1600
18/01/2022,Consultation fee,Dr Chris,1500
18/01/2022,Recharge card for HMO phone,HMO,500
19/01/2022,Water Tanker,Mr Nzube,7500
19/01/2022,Abd.Pelvis scan for patient,Dr Toby,2000
19/01/2022,Pump repairs,Mr Nzube,7500
19/01/2022,Cash request,Dr Tony,4200
19/01/2022,DBC,Dr Toby,2000
19/01/2022,Consultation fee,Dr Chris,1500
20/01/2022,Recharge card for HMO phone,HMO,500
20/01/2022,DBC,Dr Toby,1000
20/01/2022,Refund,Dr Toby,5050
20/01/2022,Cash request,Dr Tony,1000
20/01/2022,Plumber work,Plumber,5300
20/01/2022,Transport fare,HMO,300
20/01/2022,Transport fare,pharmacy,200
20/01/2022,Transport fare,Lab,400
20/01/2022,Toilet repairs,Marius,1500
20/01/2022,Workmanship,Marius,3000
20/01/2022,Fuel and diesel,Security,7200
20/01/2022,Box of syringe,Vera,5000
20/01/2022,Electricity repairs,Plumber,7600
21/01/2022,Nurses paint,Mr Nzube,2000
21/01/2022,Cash request,Dr Tony,2000
21/01/2022,Car repairs,Dr Tony,300
21/01/2022,Painter,Dr Toby,1000
21/01/2022,Fuel,Dr Toby,2300
21/01/2022,"Pillar,wood and nails",Dr Toby,8700
21/01/2022,consultation fee,Dr Chris,1500
22/01/2022,Welder,Mr Nzube,500
22/01/2022,Bed repairs,Mr Nzube,1000
22/01/2022,Table repairs,Mr Nzube,1000
22/01/2022,Local clearing,Mr Nzube,2000
22/01/2022,Cash request,Dr Tony,2500
22/01/2022,Table water,Dr Toby,200
22/01/2022,Recharge card for SH phone,Reception,500
23/01/2022,Fuel,Security,3000
23/01/2022,Transport fare,Security,200
23/01/2022,Transport fare,pharmacy,200
23/01/2022,Recharge card for SH phone,Reception,500
23/01/2022,Electricity units,Mr Nzube,10100
23/01/2022,Box of syringe,pharmacy,4500
23/01/2022,Transport fare,pharmacy,150
23/01/2022,Thermometer and tp,Nurses,1000
23/01/2022,Cash request,Dr Tony,2000
23/01/2022,DBC,Dr Tony,5000
23/01/2022,Gen oil,Mr Nzube,3600
23/01/2022,Gen oil,Security,1500
23/01/2022,Transport fare,Security,300
23/01/2022,Envelope,Reception,100
23/01/2022,Water Tanker,Mr Nzube,7500
23/01/2022,DBC,Dr Toby,5000
23/01/2022,fuel,Security,4000
23/01/2022,Transport fare,Security,200
25/01/2022,Blood grouping,Lab,1700
25/01/2022,Notebook,Lab,1000
25/01/2022,Blood lancets,Lab,1000
25/01/2022,Cap tubes,Lab,1400
25/01/2022,Transport fare,Lab,100
25/01/2022,1 carton of 4.3% and tp,pharmacy,14700
25/01/2022,Electricity repairs,Iliya,1000
25/01/2022,5 vials of meropenem,Pharmacy,25000
26/01/2022,Refund,Dr Toby,2000
26/01/2022,Recharge card for SH phone,Reception,500
26/01/2022,Fuel,Security,4000
26/01/2022,Transport fare,Security,200
26/01/2022,Cash request,Dr Tony,3000
27/01/2022,Transport fare,pharmacy,200
27/01/2022,Phone repairs,Mr Nzube,5000
27/01/2022,Refund,Mr Nzube,3900
27/01/2022,Soakaway,Dr Toby,3000
27/01/2022,Cellulose repair,Lab,1800
27/01/2022,A4 paper,Mr Nzube,4200
28/01/2022,Water Tanker,Mr Nzube,7500
28/01/2022,Fuel,Security,3000
28/01/2022,Gen oil,Security,1900
28/01/2022,Diesel,Security,3000
28/01/2022,Transport fare,Lab,300
29/01/2022,Cash request,Dr Tony,3000
29/01/2022,Cash request,Dr Tony,1000
29/01/2022,Recharge card for HMO phone,HMO,500
29/01/2022,Recharge card for SH phone,Reception,500
29/01/2022,Transport fare,Lab,400
29/01/2022,Fuel,Security,4000
29/01/2022,Transport fare,Security,200
31/01/2022,Refuse collection,Lab,4000
31/01/2022,Transport fare,pharmacy,200
31/01/2022,Cash request,Dr Tony,1000
31/01/2022,Transport fare,Security,200
31/01/2022,Diesel,Security,3000
